Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
3/12/2025 8:00 ¹.,0,0,0,0,0,0,0,0,0
3/12/2025 9:00 ¹.,0,0,0,0,0,0,0,0,0
3/12/2025 10:00 ¹.,0,0,0,0,0,0,0,0,0
3/12/2025 11:00 ¹.,0,0,0,0,0,0,0,0,0
3/12/2025 12:00 ¹.,10,-0.165,30.3,28.1,0,1.2,0,0.9,0
3/12/2025 13:00 ¹.,10,-0.135,30.8,28.9,0,1.2,0,0.9,0
3/12/2025 14:00 ¹.,10,-0.309,31.2,29.9,0,1.2,0,0.9,0
3/12/2025 15:00 ¹.,10,-0.339,31.3,30.7,0,1.2,0,0.8,0
3/12/2025 16:00 ¹.,10,-0.138,31.4,31.8,0,1.2,0,0.9,13
3/12/2025 17:00 ¹.,10,-0.132,31.2,32.3,0,1.2,0,0.9,0
3/12/2025 18:00 ¹.,9,-0.136,31.3,32.2,0,1.2,0,0.9,24
3/12/2025 19:00 ¹.,9,-0.3,30.6,31.9,0,1.2,0,0.9,0
3/12/2025 20:00 ¹.,9,-0.445,30.3,31.4,1.2,1.2,0,0.9,0
3/12/2025 21:00 ¹.,9,-0.446,30,31,1.2,1.2,0,0.9,0
3/12/2025 22:00 ¹.,9,-0.457,29.9,30.3,1.2,1.2,0,0.9,0
3/12/2025 23:00 ¹.,8,-0.496,29.9,29.8,27.3,1.2,0,0.9,0
3/12/2025 0:00 ¹.,8,-0.532,29.3,25.4,62.8,1.2,0,0.9,0
4/12/2025 1:00 ¹.,8,-0.621,28,24.3,75.8,1.2,0,0.9,0
4/12/2025 2:00 ¹.,8,-0.534,33.6,24.6,36.2,1.2,0,5,0
4/12/2025 3:00 ¹.,8,-0.521,40.6,25.7,36.3,1.2,0,17.9,0
4/12/2025 4:00 ¹.,8,-0.531,54.7,27,37.8,1.2,0,20.5,0
4/12/2025 5:00 ¹.,8,-0.536,51.5,28.3,42.4,1.2,0,23.2,0
4/12/2025 6:00 ¹.,8,-0.449,53.5,29.8,44.1,1.2,0,30.5,0
4/12/2025 7:00 ¹.,8,-0.39,78.3,31.9,45.4,1.2,0,34.9,51
4/12/2025 8:00 ¹.,8,-0.392,116.2,37,46.3,1.2,0,41,0
4/12/2025 9:00 ¹.,8,-0.433,100.6,42.8,56.4,19.6,0,44.5,0
4/12/2025 10:00 ¹.,9,-0.464,97.9,49.8,62.3,31,0,45.8,0
4/12/2025 11:00 ¹.,9,-0.465,108.1,53.4,62.9,31,0,45.9,0
4/12/2025 12:00 ¹.,9,-0.461,130.1,59.5,63.8,31,0,45.9,0
4/12/2025 13:00 ¹.,9,-0.455,152.7,66.4,64,31,0,45.5,0
4/12/2025 14:00 ¹.,10,-0.45,163.4,72.6,62.9,31,0,41,0
4/12/2025 15:00 ¹.,9,-0.456,148.8,75.8,64.6,31,0,41,0
4/12/2025 16:00 ¹.,9,-0.456,156.8,78.1,65.1,31,0,41,35
4/12/2025 17:00 ¹.,9,-0.572,193.3,83.1,59.1,31,0,30.5,0
4/12/2025 18:00 ¹.,9,-0.561,182.5,86.6,53.6,31,0,22.7,0
4/12/2025 19:00 ¹.,9,-0.553,174.1,87.7,52.3,31,0,20.9,0
4/12/2025 20:00 ¹.,9,-0.548,162.6,87.1,51,31.6,0,18.6,0
4/12/2025 21:00 ¹.,9,-0.549,162.7,87.8,50.9,36,0,15.9,0
4/12/2025 22:00 ¹.,9,-0.552,169,88.4,51.8,36,0,17.7,1
4/12/2025 23:00 ¹.,9,-0.54,152.2,88.6,51.5,36,0,17.9,0
4/12/2025 0:00 ¹.,9,-0.543,159,89.2,51.9,36,0,17.9,0
5/12/2025 1:00 ¹.,9,-0.643,170.9,78.1,50.9,36,0,17.9,0
5/12/2025 2:00 ¹.,9,-0.541,156.6,81.5,51.2,36,0,17.9,0
5/12/2025 3:00 ¹.,8,-0.542,156.4,85.4,51.5,35.9,0,17.9,2
5/12/2025 4:00 ¹.,8,-0.578,159.8,86.5,51.9,35.9,0,17.9,2
5/12/2025 5:00 ¹.,8,-0.568,164.8,80.9,51.7,34,0,17.9,2
5/12/2025 6:00 ¹.,8,-0.547,189.1,86.6,49.5,26,0,17.9,2
5/12/2025 7:00 ¹.,8,-0.546,201.7,91.3,51.6,26,0,17.9,2
5/12/2025 8:00 ¹.,8,-0.538,196.4,93,50.3,26,0,17.9,2
5/12/2025 9:00 ¹.,8,-0.577,169.2,91.5,49.6,26,0,17.9,0
5/12/2025 10:00 ¹.,8,-0.571,171.1,79.6,48.7,26,0,17.9,0
5/12/2025 11:00 ¹.,8,-0.547,164.8,87.7,49.8,26,0,17.9,0
5/12/2025 12:00 ¹.,9,-0.549,170.8,89.7,49.7,26,0,17.9,0
5/12/2025 13:00 ¹.,9,-0.545,165.8,89.7,50,26,0,18.2,0
5/12/2025 14:00 ¹.,9,-0.541,183.7,91.1,50,26,0,17.9,0
5/12/2025 15:00 ¹.,9,-0.596,195.4,89,49.6,26,0,17.9,0
5/12/2025 16:00 ¹.,9,-0.542,232.1,93.9,50.8,26,0,17.1,0
5/12/2025 17:00 ¹.,9,-0.529,182.8,97.9,49.9,26,0,16.9,0
5/12/2025 18:00 ¹.,9,-0.541,192.2,97.9,49.6,26,0,16.9,3
5/12/2025 19:00 ¹.,8,-0.573,178.5,96.2,49.5,26,0,16.9,3
5/12/2025 20:00 ¹.,8,-0.684,188.6,86.5,49.2,25.9,0,16.9,3
5/12/2025 21:00 ¹.,8,-0.68,179.2,91.5,49.2,25.9,0,16.9,3
5/12/2025 22:00 ¹.,8,-0.689,181,93.7,49.4,25.9,0,16.9,3
5/12/2025 23:00 ¹.,8,-0.689,178.3,93.9,49.2,25.9,0,16.9,3
5/12/2025 0:00 ¹.,8,-0.689,176.6,85.4,48.9,25.9,0,16.9,0
6/12/2025 1:00 ¹.,7,-0.809,328.8,100.8,71.6,45.7,0,37.3,0
6/12/2025 2:00 ¹.,7,-0.838,518.5,146.1,76.2,64,0,42,0
6/12/2025 3:00 ¹.,-1,0,561,147.5,73.8,65.7,0,43.2,0
6/12/2025 4:00 ¹.,0,0,608.5,141.8,74.8,65.7,0,45.8,0
6/12/2025 5:00 ¹.,0,0,616.9,145.6,76.2,65.7,0,49.2,0
6/12/2025 6:00 ¹.,9,0,656.9,141.3,76.3,73.2,0,47,0
6/12/2025 7:00 ¹.,20,3.113,674.4,146.6,78.5,80.8,0,48.6,0
6/12/2025 8:00 ¹.,21,3.193,699.1,149.9,78.9,80.8,0,49.9,0
6/12/2025 9:00 ¹.,24,4.059,766,156.5,77.1,80.7,0,47,0
6/12/2025 10:00 ¹.,25,4.095,763.9,156.4,77.4,83.7,0,47,0
6/12/2025 11:00 ¹.,18,2.719,667.6,161.2,79.9,88,0,45.9,0
6/12/2025 12:00 ¹.,20,2.971,675.3,162.7,80.4,90.6,0,46.2,0
6/12/2025 13:00 ¹.,23,3.77,746.6,164.2,80.8,90.4,0,45.7,0
6/12/2025 14:00 ¹.,26,4.401,776.5,163.1,79.7,91.2,0,44.3,0
6/12/2025 15:00 ¹.,24,3.899,754.5,162.8,79.3,91.2,0,43.9,0
6/12/2025 16:00 ¹.,26,4.383,797.2,164.8,80.4,92.7,0,43.8,0
6/12/2025 17:00 ¹.,26,4.384,779.2,165,80.7,95.4,0,43.8,0
6/12/2025 18:00 ¹.,19,2.767,671.7,165.3,81.9,95.6,0,43.8,0
6/12/2025 19:00 ¹.,22,3.454,711.9,164.7,80.7,95.6,0,42.6,0
6/12/2025 20:00 ¹.,24,3.784,749.6,165.1,80.9,95.5,0,41.9,0
6/12/2025 21:00 ¹.,25,4.173,768.2,165.5,82.1,95.5,0,42.8,0
6/12/2025 22:00 ¹.,25,4.116,772.2,164.5,81.4,95.6,0,42.8,0
6/12/2025 23:00 ¹.,23,3.775,742.3,164.4,81.3,95.5,0,42.8,0
6/12/2025 0:00 ¹.,24,3.917,743.6,165.3,81.3,95.5,0,42.8,0
7/12/2025 1:00 ¹.,34,5.792,861.1,167.1,85.3,95.5,0,47.9,0
7/12/2025 2:00 ¹.,39,6.76,910.5,168.2,89,95.5,0,53.9,0
7/12/2025 3:00 ¹.,37,6.407,889.1,169.4,89.4,95.5,0,53.2,0
7/12/2025 4:00 ¹.,39,6.897,947.4,169.6,90.5,95.5,0,52.3,0
7/12/2025 5:00 ¹.,38,6.623,959.8,170.8,90.6,95.3,0,52.3,0
7/12/2025 6:00 ¹.,34,5.84,875.3,163.9,90,93.2,0,53.9,0
7/12/2025 7:00 ¹.,36,6.289,883.2,153.8,84.6,90.6,0,52.4,0
7/12/2025 8:00 ¹.,37,6.535,905.3,154.8,84.8,93.8,0,51.2,0
7/12/2025 9:00 ¹.,39,6.913,928,157.8,85.4,95.6,0,51.2,0
7/12/2025 10:00 ¹.,41,7.431,941.7,159.2,89.4,95.6,0,53.9,0
7/12/2025 11:00 ¹.,40,7.049,904,159.9,90.1,95.6,0,56.3,0
7/12/2025 12:00 ¹.,39,6.928,908.9,161.7,90.8,95.6,0,56.3,0
7/12/2025 13:00 ¹.,43,7.683,969,163.1,90.4,95.6,0,55.5,0
7/12/2025 14:00 ¹.,40,7.089,938,163.2,91.4,94.7,0,57.1,0
7/12/2025 15:00 ¹.,38,6.827,948.9,163.6,93.1,90.2,0,58.3,0
7/12/2025 16:00 ¹.,42,7.631,969.8,159,90.2,92.8,0,56.6,0
7/12/2025 17:00 ¹.,43,7.772,975.9,159.9,90.6,95.6,0,54.3,0
7/12/2025 18:00 ¹.,41,7.26,934.6,158.8,88,95.6,0,54.2,0
7/12/2025 19:00 ¹.,37,6.422,906.3,165.9,89,95.5,0,52,0
7/12/2025 20:00 ¹.,43,7.839,1001.8,174.3,92.4,95.3,0,53.3,0
7/12/2025 21:00 ¹.,42,7.428,951.6,171.1,89.7,95.3,0,54.3,0
7/12/2025 22:00 ¹.,42,7.576,981.1,171.4,90.6,95.3,0,54.1,0
7/12/2025 23:00 ¹.,38,6.619,943.5,171.1,91.7,95.2,0,54.1,0
7/12/2025 0:00 ¹.,39,6.863,947.6,165.2,91.6,95.5,0,54.3,0
8/12/2025 1:00 ¹.,42,7.618,988.4,159.3,87.6,94.7,0,51.3,0
